Name,Price,Description,ImageUrl,Brand Name,Gender
1505 LATTAFA ,"55,000","Fragrance Notes:
• Top: Black Cherry 🍒, Saffron 🧂
• Heart: Frankincense 🌫️, Osmanthus 🌼, Amyris 🌿
• Base: Styrax 🌿, Guaiac Wood 🌳, Balsam 🌿, Cypriol Oudh 🪵 ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F1505%20LATTAFA_.png?alt=media&token=b494e060-c8bc-4ab7-85bd-f251bb739b73,Lattafa,Unisex
1886 LATTAFA ,"55,000","Fragrance Notes:
• Top: Bergamot 🍋, Mate 🌿
• Heart: Cinnamon Bark 🍂, Bran 🌾, Jasmine 🌸, Orris 🌼, Tonka Bean 🌰
• Base: White Chocolate 🍫, White Musk 🕊️, White Tobacco, Patchouli 🌿",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F1886%20LATTAFA_.png?alt=media&token=76cab373-8b31-417d-9103-965a424e562c,Lattafa,Unisex
212 MEN ,"12,000","Fragrance Notes:
• Top: Grapefruit 🍊, Bergamot 🍋, Petitgrain 🌿
• Heart: Ginger 🌱, Sage 🌿, Violet 💜
• Base: Musk 🐚, Labdanum 🌾, Sandalwood 🪵",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F212%20MEN_.jpg?alt=media&token=dddc835c-a917-4d59-bad6-d82c1318f30f,212 Men,Male
212 MEN NYC CAROLINA HERRERA ,"130,000","Fragrance Notes:
• Top: Green Notes, Grapefruit 🍊, Bergamot 🍋, Lavender 🌸, Petitgrain
• Heart: Ginger 🌿, Violet 🌸, Gardenia 🌼, Sage 🌿
• Base: Musk 🐚, Sandalwood 🪵, Incense 🕯️, Vetiver 🌾, Guaiac Wood 🌳, Labdanum 🌳",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F212%20MEN%20NYC%20CAROLINA%20HERRERA_.jpg?alt=media&token=55a76f0a-f6e5-40a0-bb3f-d08e8cdfc2d7,212 Men,Male
24 CARAT PURE GOLD ,"22,000","Fragrance Notes:
• Top: Oud 🪵, Rose 🌹
• Heart: Saffron 🧂, Sandalwood 🪵
• Base: Incense 🌫️, Amber 🧡, Vanilla 🍦",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24%20CARAT%20PURE%20GOLD_.jpg?alt=media&token=4e5fc0e8-9983-4c0c-a8eb-7a46cf7e089e,Lattafa,Unisex
24 CARAT WHITE GOLD ,"22,000","Fragrance Notes:
• Top: Bergamot 🍋, Orange Blossom 🌼
• Heart: Lavender 💜, Nutmeg 🌰, Pink Pepper 🌶️, Geranium 🌹
• Base: Vetiver 🌾, Tonka Bean 🌰, Agarwood (Oud) 🪵",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24%20CARAT%20WHITE%20GOLD_.jpg?alt=media&token=c893cf19-63b5-4740-89a8-d36c01b45574,Lattafa,Unisex
24k BLEU NUIT,"8,500","Fragrance Notes:
• Top: Citrus 🍋, Bergamot 🍋, Apple 🍏, Cardamom 🌰, Eucalyptus 🌱
• Heart: Guaiac Wood 🌳, Geranium 🌹, Pine Needles 🌲
• Base: Fir Balsam 🌲, Patchouli 🌿, Cistus resin 🌳 ",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24K%20BLEU%20NUIT.jpg?alt=media&token=04c6c71a-7bc6-4a10-b484-cc07af0bdef5,24k,Unisex
24K HOMME ,"8,500","Fragrance Notes:
• Top: Coriander 🌿
• Heart: Cardamom 🌰
• Base: Vetiver 🌾, Sandalwood 🌲, Amber 🧡",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24K%20HOMME_.jpg?alt=media&token=c4404d35-cc3a-42c8-a34d-0635c9df7c17,24k,Male
24k OUD ,"8,500","Fragrance Notes:
• Top: Rose 🌹, Saffron 🧂
• Heart: Oud 🪵, Incense 🔥
• Base: Amber 🧡, Sandalwood 🪵, Musk 🐚

",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24k%20OUD_.jpg?alt=media&token=7bd2ce52-2a3d-4810-a2f5-db28bdf3a2a2,24k,Unisex
24K PURE PINK ,"8,500","Fragrance Notes:
• Top: Green Apple 🍏, Orange Blossom 🌼, Peach 🍑, Mango 🥭, Strawberry 🍓, Grapefruit 🍊
• Heart: Gardenia 🌼, Chinese Jasmine 🌸, Moroccan Rose 🌹, Freesia 🌼, Lily‑of‑the‑Valley 🌼, Linden Blossom 🌸
• Base: Vanilla 🍦, Amber 🧡, Sandalwood 🌲, Musk 🕊️, Tonka Bean 🌰",https://firebasestorage.googleapis.com/v0/b/bogi-noir.firebasestorage.app/o/perfumes%2F24K%20PURE%20PINK_.jpg?alt=media&token=98273184-2b5b-4afc-9657-6539c63c352a,24k,Female
